driver,segment_value,offers,purchases,conversion_rate,revenue,avg_price,cr_lift_vs_product,revenue_share
MARKET,WEST ZENITH,277,7,0.02527075812274368,50.9796924,6.783109250541516,5.409898276973278,0.005218495680102023
MARKET,NORTH MERIDIAN,763,18,0.023591087811271297,190.6988618,12.816429553211009,5.050318818383967,0.019520737369213174
MARKET,WEST VERTEX,256,6,0.0234375,75.1229634,11.13872113984375,5.017439138576779,0.007689902420426578
MARKET,LOWER VERTEX,13724,233,0.016977557563392597,3051.8722084,13.012668147741184,3.6345114366295994,0.31240247216083283
MARKET,WEST AURORA,320,5,0.015625,77.9527415,13.792455224687501,3.3449594257178528,0.007979570405761407
MARKET,GREAT APEX,285,4,0.014035087719298246,37.17644,11.564693608771929,3.0045951332763874,0.0038055367227278927
MARKET,EAST VERTEX,287,4,0.013937282229965157,49.305896000000004,17.830618485714286,2.983657188096761,0.005047158842401325
MARKET,OLD AURORA,309,4,0.012944983818770227,49.3328789,11.026611221682849,2.7712285209830756,0.00504992092550653
MARKET,NEW MERIDIAN,2054,21,0.010223953261927946,271.1168981,11.900219789337877,2.188717365221419,0.027752665717094647
MARKET,CENTRAL VERTEX,337,3,0.008902077151335312,29.615231800000004,10.44054200801187,1.9057335600529013,0.003031539657024688
MARKET,NEW ZENITH,253,2,0.007905138339920948,31.2766075,14.065739356126482,1.692311488110218,0.0032016050596452117
MARKET,NEW HORIZON,2288,15,0.006555944055944056,213.0839613,10.38791388395979,1.403479479322176,0.02181217028180964
MARKET,UPPER MERIDIAN,7384,45,0.006094257854821235,642.5305204,12.884635441657638,1.3046428962713186,0.0657721258640059
MARKET,CENTRAL AURORA,503,3,0.005964214711729622,35.5296265,12.484321708548707,1.2768035978883254,0.0036369619681324004
MARKET,CENTRAL MERIDIAN,1706,10,0.005861664712778429,128.245869,11.907834600234466,1.2548499604099799,0.013127786415742084
MARKET,SOUTH MERIDIAN,3782,22,0.005817028027498678,326.5534803,11.17203981969857,1.2452942547357844,0.0334273873780343
MARKET,NEW APEX,1553,9,0.005795235028976175,96.4334582,10.576588022794592,1.2406288662031444,0.009871334277293503
MARKET,UPPER HORIZON,597,3,0.005025125628140704,68.26973509999999,11.290477280737019,1.0757658454569978,0.006988377154293293
MARKET,GREAT MERIDIAN,1601,8,0.004996876951905059,107.9483037,15.090510323922548,1.0697184422033357,0.011050042281792804
MARKET,CENTRAL APEX,2267,11,0.004852227613586237,118.1598323,9.977078086854874,1.0387522874747985,0.012095337288051773
MARKET,OLD ZENITH,1900,9,0.004736842105263158,92.4845322,14.632635062105264,1.0140508574807807,0.009467105606976093
MARKET,LOWER MERIDIAN,2429,11,0.004528612597776863,171.4664786,14.568664702717168,0.9694736252389331,0.01755202975403606
MARKET,LOWER ZENITH,1386,5,0.0036075036075036075,53.0655134,12.150143878860028,0.7722850044947424,0.005432009088393324
MARKET,NORTH HORIZON,4828,16,0.0033140016570008283,186.0171145,12.594506765865784,0.7094528690834883,0.019041494029165492
MARKET,WEST APEX,3354,11,0.003279666070363745,154.6484225,10.818379642277877,0.7021023958572953,0.015830462812891407
MARKET,SOUTH VERTEX,4061,13,0.0032011819748830337,186.0218258,11.414409624599852,0.685300724500678,0.01904197629764418
MARKET,NEW AURORA,4153,13,0.0031302672766674693,162.7227341,13.090237370960752,0.6701194900547204,0.01665698330018249
MARKET,UPPER VERTEX,5510,16,0.0029038112522686023,143.1237261,12.181531916533574,0.6216403724020111,0.014650746428845757
MARKET,UPPER APEX,90735,213,0.0023474954537940156,2745.3841548,12.71907101867967,0.5025457308798784,0.28102906623352525
MARKET,SOUTH HORIZON,7833,17,0.0021703051193667816,203.1662465,10.251560734214223,0.46461328420541603,0.020796951291585132
MARKET,NORTH ZENITH,1724,2,0.001160092807424594,19.7339225,11.898584661194894,0.24834965573775242,0.002020047286862761
MARKET,GREAT AURORA,366,0,0.0,0.0,12.677969043989071,0.0,0.0
FLIGHT_TYPE,Multi-City,472,31,0.06567796610169492,429.44998549999997,12.504821023728814,14.060168433525892,0.04177490724973593
FLIGHT_TYPE,One-Way,31343,199,0.006349105063331526,2204.2943479,11.837226717324443,1.3591999248936788,0.2144235534841802
FLIGHT_TYPE,Round-Trip,139661,571,0.004088471369960118,7646.349957,12.596122244955284,0.8752493341264435,0.7438015392660838
fare_bucket,very_high,31626,462,0.014608233731739707,6420.9339742,13.204111376614179,3.1272927433006217,0.6245987432426713
fare_bucket,high,40588,148,0.0036463979501330443,1805.2909245,12.550555931726127,0.7806114043658101,0.17561034689981975
fare_bucket,mid,38067,106,0.0027845640581080724,1184.896233,12.506349828901673,0.5961122427317601,0.1152612222736622
fare_bucket,low,36033,63,0.0017483973024727333,641.5312964999999,12.263350058876586,0.37429235435557356,0.06240519574796993
fare_bucket,very_low,25162,22,0.0008743343136475638,227.4418622,11.570773357245052,0.18717521943449394,0.02212449183587695
dtd_bucket,invalid_or_past,6918,69,0.00997398091934085,745.3066732999999,11.713414307559988,2.1352039352370684,0.07551833413025748
dtd_bucket,0_3,11641,83,0.007129971651919938,919.3506613,11.848289835349197,1.5263658164602039,0.09315337284653637
dtd_bucket,120_plus,19157,116,0.006055227854048129,1838.9420272,13.22298600643107,1.2962874550571248,0.18633113513041535
dtd_bucket,4_7,14688,68,0.004629629629629629,747.0378618999999,12.076716372045206,0.991099089101586,0.07569374712979286
dtd_bucket,8_14,19873,91,0.004579077139837971,1043.4861352,12.106421141080862,0.9802769433593708,0.10573142230085092
dtd_bucket,15_30,35232,131,0.0037182107175295184,1602.8994727,12.323830506919846,0.7959848951299522,0.16241408039539704
dtd_bucket,61_120,27284,99,0.003628500219909104,1421.3054123,12.830902613934906,0.7767799047554726,0.1440140292209762
dtd_bucket,31_60,36652,113,0.0030830514023791333,1550.8867207,12.582540549637127,0.6600116382950865,0.1571438788457738
stay_bucket,30_plus,6690,56,0.00837070254110613,643.3948298,12.139030905784754,1.7919782633442132,0.06258647164363366
stay_bucket,15_30,14586,112,0.007678595913890031,1621.5750659,12.810519949403536,1.6438138738204833,0.15773931834597057
stay_bucket,unknown_or_oneway,36469,267,0.007321286572157175,3141.606198,11.909979232348022,1.5673220177867961,0.3056009127205933
stay_bucket,9_14,19168,121,0.006312604340567613,1669.3347989000001,12.811539458206386,1.3513859449477803,0.162385164157385
stay_bucket,6_8,24918,90,0.003611846857693234,1287.1053167,13.202132731218397,0.773214796216985,0.12520364894920807
stay_bucket,1_2,12347,41,0.003320644691018061,468.5494925,11.972728517826193,0.7108749925555718,0.04557832635227402
stay_bucket,3_5,57298,114,0.0019895982407762925,1448.5285886,12.414473406921706,0.42592802488808434,0.14090615783093535
route_direction,AREA_D_TO_AREA_C,650,26,0.04,323.83891489999996,12.87517110676923,8.563096129837703,0.032211663830850105
route_direction,AREA_B_TO_AREA_B,6856,125,0.01823220536756126,1776.7961255,12.064297863900233,3.903103180534251,0.17673465682231682
route_direction,AREA_B_TO_AREA_C,24937,214,0.008581625696755824,2637.5382148,12.491906588234352,1.8371321447901394,0.2623510961997672
route_direction,AREA_C_TO_AREA_D,3105,19,0.006119162640901771,233.8119681,12.100428708921093,1.3099744482038354,0.023256848295679148
route_direction,AREA_C_TO_AREA_B,59269,199,0.0033575730989218646,2785.6396435,13.587081522645901,0.718780530225625,0.27708247409987585
route_direction,AREA_C_TO_AREA_C,76534,201,0.002626283743172969,2295.8426163,11.616212297529202,0.5622280039255032,0.22836326075151073
origin_area,AREA_D,686,36,0.052478134110787174,458.392358,13.125842256413994,11.23438267762964,0.04459028731167056
origin_area,AREA_B,31882,346,0.010852518662568221,4506.4077045,12.395690850733956,2.3232790139607347,0.43836248746359074
origin_area,AREA_C,138908,419,0.0030163849454315087,5315.2942279,12.46796266511648,0.6457398563081316,0.5170472252247389
destination_area,AREA_D,3199,27,0.008440137542982182,335.7563624,12.065364566770866,1.8068427282402157,0.03266082517487645
destination_area,AREA_B,66156,333,0.0050335570469798654,4687.118182,13.431762384947698,1.0775708217077646,0.455941166451852
destination_area,AREA_C,102121,441,0.004318406596096787,5257.219746,11.83806198322872,0.9244732702525501,0.5113980083732715
is_hub_caj_route,0,17234,426,0.024718579552048276,5578.4301838,12.241337831228964,5.2916893224307495,0.5426438733163548
is_hub_caj_route,1,154242,375,0.002431244408137861,4701.6641066,12.481271542080627,0.5204744895503719,0.45735612668364517
first_booking_class,P,3248,206,0.06342364532019705,2636.8083916,13.153204822167488,13.577569294539463,0.2571486654166328
first_booking_class,C,1006,32,0.03180914512922465,370.4949188,12.403137997017891,6.809619188737735,0.036131663649345815
first_booking_class,Y,167158,559,0.003344141470943658,7246.7199307,12.443983021182353,0.715905122186685,0.7067196709340214
first_rbd,Y,755,72,0.09536423841059603,1137.5545208,15.29537925668874,20.415328521467373,0.11370062534624745
first_rbd,A,791,60,0.07585335018963338,874.0168195,12.586898809860935,16.23848823610184,0.08735955694712604
first_rbd,R,2290,136,0.059388646288209605,1612.2458353,13.375969659257642,12.713767179671699,0.16114687809123693
first_rbd,I,748,19,0.02540106951871658,255.60729849999998,12.713467098930481,5.43779500223651,0.025548410340874215
first_rbd,M,1093,12,0.010978956999085087,135.8242092,12.077785699908508,2.350346604713002,0.013575874598378666
first_rbd,H,3558,23,0.006464305789769534,255.1601533,12.13672084915683,1.3838617972615739,0.025503717371938697
first_rbd,B,635,4,0.006299212598425197,49.299471499999996,12.42709212456693,1.3485190755649927,0.004927571062569771
first_rbd,E,2494,13,0.0052125100240577385,157.0477591,11.902526208059342,1.1158806103437264,0.015697206676598723
first_rbd,Q,8891,46,0.005173771229333033,500.6548605,11.983149471488021,1.1075875097641839,0.05004135597954038
first_rbd,K,5854,25,0.004270584215920738,302.4303394,11.66600101308507,0.9142355792874214,0.03022845770000992
first_rbd,T,10276,42,0.004087193460490463,551.7142167,12.162932254768393,0.8749757625855963,0.05514483069091862
first_rbd,S,14186,57,0.004018045960806429,797.6766275,11.99472974548851,0.8601728454122887,0.07972921711660229
first_rbd,V,15812,61,0.0038578294965848723,707.9023777,12.477800581115607,0.8258741207944914,0.07075611898758097
first_rbd,W,18262,53,0.0029022012923009526,640.3791695,12.588567098028692,0.6212957163528067,0.06400705258474551
first_rbd,L,23245,63,0.002710260271026027,803.692101,12.907300575564637,0.5802054809418964,0.0803304745387281
first_rbd,U,22250,48,0.0021573033707865167,700.9716271,12.541289703321347,0.4618299036316963,0.07006337796908044
first_rbd,O,39899,43,0.00107772124614652,522.6446391,12.505307332441914,0.23071576579802833,0.05223927399782331
BROWSER_TYPE,microsoft,17130,87,0.005078809106830123,1290.2807329,12.5155020172446,1.0872582651720377,0.12575354540357342
BROWSER_TYPE,google,78749,375,0.004761965231304524,4802.1728393,12.549600286696974,1.0194291510651368,0.46803013079597977
BROWSER_TYPE,apple,57127,271,0.004743816409053512,3261.4077042,12.309936883186584,1.015543898325668,0.31786383486318803
BROWSER_TYPE,mozilla,9479,37,0.0039033653338959805,566.4935648000001,12.689034807289799,0.8356223146006831,0.05521168564750639
BROWSER_TYPE,samsung,6057,23,0.003797259369324748,271.7623462,12.290739340696714,0.8129074252363677,0.026486544881618404
BROWSER_TYPE,other,1406,4,0.002844950213371266,38.6866258,11.97050095398293,0.609039554042511,0.003770482058673353
BROWSER_TYPE,opera,1396,3,0.002148997134670487,29.5886772,12.300132936389684,0.46005172617322904,0.00288377634946073
FIRST_TOUCH_CHANNEL,MetaSearches,14889,90,0.006044731009470079,1081.2030898,12.268981751145141,1.2940403178275797,0.1052753132229216
FIRST_TOUCH_CHANNEL,Paid Search,52183,282,0.005404058793093536,3771.4757421,12.579991346793017,1.1568868734138666,0.36722359916273717
FIRST_TOUCH_CHANNEL,Organic Search,10825,51,0.004711316397228637,659.4076819,12.270927782891453,1.0085863801887365,0.06420565285885768
FIRST_TOUCH_CHANNEL,Email,4672,22,0.004708904109589041,236.0309904,12.664506108047945,1.0080699639149693,0.022982025004453885
FIRST_TOUCH_CHANNEL,Direct,83955,342,0.0040736108629623015,4384.1507544,12.411859603333928,0.8720680353774327,0.42687895386179825
FIRST_TOUCH_CHANNEL,Paid MetaSearches,1496,6,0.004010695187165776,73.75968449999999,12.79550200895722,0.8585992108794489,0.007181882813891837
FIRST_TOUCH_CHANNEL,Affiliate,671,2,0.0029806259314456036,19.7343508,12.8173058,0.6380846594513937,0.0019215076069615327
FIRST_TOUCH_CHANNEL,Display,370,1,0.002702702702702703,3.81187,14.048640518378377,0.5785875763403854,0.00037115673456805366
FIRST_TOUCH_CHANNEL,Internal,1649,4,0.002425712553062462,40.6692265,12.5694546417829,0.5192902443806976,0.00395990873381006
FIRST_TOUCH_CHANNEL,Referrals,488,0,0.0,0.0,12.090498253278689,0.0,0.0
LAST_TOUCH_CHANNEL,Organic Search,20011,117,0.005846784268652241,1539.939801,12.337057767937635,1.2516643935722993,0.1497982175550727
LAST_TOUCH_CHANNEL,MetaSearches,17871,103,0.005763527502657937,1247.6648829,12.227067513659,1.2338410013055836,0.12136706606525233
LAST_TOUCH_CHANNEL,Paid Search,57381,293,0.005106219828863213,3806.8580334,12.603281145356478,1.093126281365978,0.3703135327226531
LAST_TOUCH_CHANNEL,Referrals,1985,10,0.005037783375314861,152.5878712,12.431478271989924,1.0784755831029853,0.014843041988680318
LAST_TOUCH_CHANNEL,Partners,436,2,0.0045871559633027525,19.129162899999997,13.097077057568807,0.9820064369079935,0.0018607964440427013
LAST_TOUCH_CHANNEL,Internal,962,4,0.004158004158004158,40.6692265,12.621875448440749,0.8901347328313621,0.003956114151402161
LAST_TOUCH_CHANNEL,Email,8295,34,0.004098854731766124,427.6691141,12.64497858503918,0.8774721772588364,0.041601672321174725
LAST_TOUCH_CHANNEL,Paid MetaSearches,1822,7,0.0038419319429198683,128.2522935,12.896750983644347,0.8224708137879243,0.012475789606304253
LAST_TOUCH_CHANNEL,Direct,60066,228,0.0037958245929477575,2870.7754043,12.353085315915825,0.8126002720353429,0.2792557464167284
